永春石鼓,FJ,YCSG,118.23,25.34,266,100,CMG-3ESPC-60,EDAS-24IP
永定仙师,FJ,YDXS,116.63,24.7,191,100,CMG-3ESPC-60,EDAS-24IP
尤溪坂面,FJ,YXBM,118.11,26.04,186,100,BBVS-60,EDAS-24IP
政和南庄,FJ,ZHNZ,118.86,27.36,275,100,BBVS-60,EDAS-24IP
漳州九湖,FJ,ZZJH,117.63,24.47,60,100,FSS-3M（2S）,EDAS-24GN
广州,GD,GZH,113.65,23.65,65,100,JCZ-1T,EDAS-24IP
韶关,GD,SHG,113.58,24.86,200,100,CTS-1,EDAS-24L
汕头,GD,SHT,116.63,23.42,19,100,CTS-1,EDAS-24L
深圳,GD,SZN,114.14,22.55,20,100,CTS-1,EDAS-24IP
信宜,GD,XNY,110.93,22.35,90,100,KS-2000M（120）,SMART-24R
潮州,GD,CHZ,116.64,23.67,13,100,KS-2000(60s),TDE-324CI
担杆岛,GD,DGD,114.3,22.06,31,100,KS-2000(60s),TDE-324CI
电白,GD,DNB,111.21,21.65,240,100,KS-2000(60s),TDE-324CI
东莞,GD,DOG,113.72,22.88,59,100,KS-2000(60s),TDE-324CI
丰顺,GD,FES,116.21,23.82,84,100,KS-2000(60s),EDAS-24IP
高州,GD,GAZ,111.01,22.05,72,100,KS-2000(60s),TDE-324CI
合江,GD,HEJ,110.55,21.93,113,100,KS-2000(60s),TDE-324CI
花都,GD,HUD,113.23,23.52,65,100,KS-2000(60s),TDE-324CI
怀集,GD,HUJ,112.3,24.04,133,100,KS-2000(60s),EDAS-24IP
惠州,GD,HUZ,114.42,23.24,44,100,KS-2000M（60）,EDAS-24IP
湖羊角,GD,HYJ,114.59,23.72,152,100,CMG-3ESPC（60）,TDE-324CI
揭西,GD,JIX,115.7,23.43,123,100,BBVS-60,EDAS-24IP
龙川,GD,LCH,115.27,24.1,135,100,KS-2000(60s),TDE-324CI
连平,GD,LIP,114.46,24.36,276,100,BBVS-60,EDAS-24IP
连州,GD,LIZ,112.39,24.8,108,100,KS-2000(120s),TDE-324CI
龙潭口,GD,LTK,114.65,23.66,103,100,CMG-3ESPC,TDE-324CI
梅州,GD,MEZ,116.14,24.32,115,100,CMG-3ESPC,EDAS-24IP
南澳,GD,NAO,117.01,23.43,5,100,BBVS-120,EDAS-24IP
南澎岛,GD,NAP,117.28,23.26,50,100,BBVS-120,EDAS-24IP
普宁,GD,PUN,116.14,23.29,53,100,BBVS-60,EDAS-24IP
上川岛,GD,SCD,112.8,21.71,1,100,CTS-2FN(60S),EDAS-24IP
水东,GD,SHD,111,21.44,58,100,KS-2000(120s),TDE-324CI
汕尾,GD,SHW,115.37,22.79,15,100,KS-2000(120s),TDE-324CI
石榴岗,GD,SLG,113.35,23.09,26,100,CMG-3TB-120,CMG-DM24
台山,GD,TIS,112.88,22.27,20,100,KS-2000(60s),TDE-324CI
田心,GD,TIX,116.51,23.13,17,100,KS-2000(60s),TDE-324CI
新丰江,GD,XFJ,114.66,23.74,101,100,BBVS-120,EDAS-24IP
新港,GD,XIG,114.64,23.78,107,100,KS-2000(60s),TDE-324CI
新会,GD,XNH,113.03,22.57,86,100,KS-2000(120s),EDAS-24IP
阳春,GD,YGC,111.94,22.42,28,100,KS-2000(120s),TDE-324CI
阳东,GD,YGD,112.25,21.71,18,100,KS-2000(60s),TDE-324CI
阳江,GD,YGJ,111.95,21.86,20,100,KS-2000(60s),TDE-324CI
阳西,GD,YGX,111.6,21.75,80,100,KS-2000(60s),TDE-324CI
英德,GD,YND,113.36,24.13,134,100,BBVS-60,EDAS-24IP
珠海,GD,ZHH,113.57,22.27,50,100,KS-2000(60s),TDE-324CI
湛江,GD,ZHJ,110.38,21.39,8,100,KS-2000(60s),TDE-324CI
肇庆,GD,ZHQ,112.54,23.18,50,100,KS-2000(60s),TDE-324CI
中山,GD,ZHS,113.36,22.49,50,100,KS-2000(60s),EDAS-24IP
紫金,GD,ZIJ,115.17,23.7,253,100,BBVS-120,EDAS-24IP
安西,GS,AXX,95.8,40.5167,1178,100,CTS-1EF,EDAS-24IP
高台,GS,GTA,99.8167,39.4,1345,100,JCZ-1T,EDAS-24IP
嘉峪关,GS,JYG,98.2104,39.8114,1714,100,BBVS-120,EDAS-24IP
兰州,GS,LZH,103.8444,36.0833,1560,100,CTS-1,EDAS-24IP
天水,GS,TSS,106.0206,34.3425,1707,100,CTS-1,EDAS-24IP
白银,GS,BYT,104.1302,36.5809,1766,100,BBVS-60,EDAS-24IP
